GEO_ID,Geographic_Area_Name,Households,Median_Income_Household,Median_Income_White,Median_Income_Black,Median_Income_AIAN,Median_Income_Asian,Median_Income_NHPI,Percent_Other_Race,Median_Income_Other_Race,Percent_Hispanic_or_Latino,Median_Income_Hispanic_or_Latino,Percent_15_to_24,Median_Income_15_to_24,Percent_25_to_44,Median_Income_25_to_44,Percent_45_to_64,Median_Income_45_to_64,Percent_65_and_over,Median_Income_65_and_Over,Families,Median_Income_Family,Percent_Family_With_Children,Median_Income_Family_with_Children,Percent_Family_no_Children,Median_Income_Family_no_Children,Percent_Married_Couple_Family,Median_Income_Married_Couple_Family,Percent_Female_Householder_no_Spouse,Median_Income_Female_Householder_no_Spouse,Percent_Male_Householder_no_Spouse,Median_Income_Male_Householder_no_Spouse,Nonfamily_Households,Median_Income_Nonfamily_Households,Percent_Nonfamily_Lone_Female,Median_Income_Nonfamily_Lone_Female,Percent_Nonfamily_Lone_Male,Median_Income_Nonfamily_Lone_Male
53061051802,"Census Tract 518.02, Snohomish County, Washington",2577,100348,94789,102361,-,100064,-,2.4,85956,7.9,86838,6.3,46106,37.9,101732,35.9,116435,19.9,71500,1631,110689,738,102763,893,114950,1314,116914,175,-,142,98239,946,71029,337,60234,251,88591
53061051803,"Census Tract 518.03, Snohomish County, Washington",3060,64407,59543,81196,-,-,-,13.8,63136,17.2,62611,12.1,57174,54.9,75685,21.4,69643,11.5,31150,1703,63826,1107,63837,596,63750,1318,72250,236,33077,149,42078,1357,57745,516,47689,330,56087
53061051804,"Census Tract 518.04, Snohomish County, Washington",2344,86897,76908,105462,-,104886,-,4.6,102530,8.7,58068,7.3,-,45,105923,38.4,85474,9.3,-,1498,94821,789,103075,709,89327,975,103293,354,54615,169,103512,846,70254,307,64250,240,60781
53061051912,"Census Tract 519.12, Snohomish County, Washington",794,137031,130288,-,-,225568,-,2.5,-,5.8,154063,0,-,26.4,158750,50.8,153750,22.8,73438,632,137344,227,183906,405,123375,579,141563,43,124375,10,-,162,110556,36,31591,40,88125
53061051913,"Census Tract 519.13, Snohomish County, Washington",1543,124920,123682,-,-,150521,-,0.5,-,4.5,104219,1.2,-,25,150259,46.9,127361,26.9,102625,1330,128553,485,150536,845,124178,1176,143158,110,81528,44,104375,213,57361,80,96000,62,53750
53061051914,"Census Tract 519.14, Snohomish County, Washington",1659,120026,126450,-,-,-,-,0.5,-,2.7,79375,0.2,-,20.9,136250,53,126017,25.9,77542,1219,120625,571,121761,648,115227,973,137159,213,58919,33,-,440,87500,172,40000,101,87386
53061051916,"Census Tract 519.16, Snohomish County, Washington",1440,123426,128625,-,-,116859,-,0,-,3.1,175208,1.9,-,38.1,132143,45.4,138362,14.7,80125,1119,141055,476,146154,643,139572,1013,146058,45,-,61,46450,321,79625,54,-,152,-
53061051917,"Census Tract 519.17, Snohomish County, Washington",1618,116621,110321,-,-,213750,-,0,-,6.2,"250,000+",0.9,-,28,163125,37.6,141944,33.5,52375,1204,135357,520,187500,684,111875,1021,150733,128,119545,55,142917,414,45455,249,43229,99,34896
53061051918,"Census Tract 519.18, Snohomish County, Washington",2246,117717,97841,-,-,"250,000+",-,2.7,-,5,85313,3.2,-,34.6,164904,35.2,148289,27.1,61532,1633,141438,765,238375,868,113684,1457,163942,91,104044,85,-,613,54203,423,39556,90,73598
53061051921,"Census Tract 519.21, Snohomish County, Washington",1817,101216,96515,-,-,123393,-,0.7,-,11.9,-,3.3,-,54.8,119830,29.7,87396,12.3,65464,1324,108864,651,126888,673,94522,1074,121905,153,74531,97,60417,493,70066,189,45893,188,87143
